,description,clean_text,skill_set,joined_skills,from,to
0,"Job Code: EHSJD201801
Education Qualification: B.Tech/ B.E / MCA / MSc / BSc ( computers ) or equivalent. Experience (Preferable): 0 - 6 months ( Freshers ) Essential Requirements (Skills): Knowledge on Core Java, JSP, Servlets, AJAX, JavaScript, Struts, JSF, Design Patterns, Spring MVC framework, Hibernate.
We have urgent openings for the following positions. Interested candidates drop us your resume at hr@ethonhealthcare.com. Don't forget to mention Job Code in Subject.",code ehsjd201801 education qualification b tech b e mca msc bsc computers equivalent exp preferable 0 6 months freshers essential requirements skills knowledge core java jsp servlets ajax javascript struts jsf design patterns spring mvc framework hibernate urgent openings following positions interested candidates drop us resume hr ethonhealthcare com forget mention code subject,"['ajax', 'jsp', 'jsf', 'servlets', 'struts', 'spring', 'rest', 'javascript', 'hibernate']",ajax jsp jsf servlets struts spring rest javascript hibernate,0.6,
1,"Job SummaryLooking for developers to join our teamQualifications and SkillsJava/Android development experienceGood in OOPS , Java principles.Experience in analyzing code , debugging .Job Types: Full-time, Internship, Contract, Fresher",looking developers join teamqualifications skillsjava android development exp good oops java principles exp analyzing code debugging types full time internship contract fresher,"['oop', 'android']",oop android,0.0,
2,"Opening for Freshers / Experience for JAVA,TESTING,AWS and Devops,NetworkingEligibility: -BCA,MCA,Btech,BSC IT,From 2011,2012,2013,2014,2015,2016,2017,2018,2019 Passout can apply for the job.Job Description for Java.(Fullstack developers)· Fresher / Experience· Should trained on domain· Good communications skillsExperience JOB DescriptionØ Experience of 0-7 yearsØ MVC Framework like JSF, Playframework, Struts, or Spring frameworkØ Hibernate or JPA for databasesØ Dependency Injection (@Resource)Ø SOAP based Web Services (JAX-WS)Ø Some build tool (Ant, Maven, etc.)Ø JUnit (or other Unit Testing framework)Ø Version Control mostly Git.Get comfortable writing Java code using latest API changes.Ø JSTLØ Application server/container configuration management and application deploymentØ JSPØ Markup Languages like HTML, XML and JSON.Ø ServletsØ JNDIØ MVCØ Frameworks like Struts / SpringØ ServicesØ Web Technologies like CSS, JavaScript and JQuery----------------------------------------------------------------------------------------------Job Description For TestingØ Experience of 0-7 yearsØ Trained on Manual testing/Automation TestingØ Expert in creation of test scenarios/cases which meets the business requirements/mapping documentsØ Execution of the test scripts on various builds and Involved in fixing the test scripts runtime and their maintenanceØ Experience in creating automation framework and enhancing as per the business needsØ Good communications skills---------------------------------------------------AWS and DevopsShould trained on toolsShould have good communication skills.Should have logical skills.---------------------------------------------------Job Types: Full-time, Fresher, Walk-InSalary: ₹5,000.00 to ₹50,000.00 /monthEducation:Bachelor's (Preferred)",opening freshers exp java testing aws devops networkingeligibility bca mca btech bsc 2011 2012 2013 2014 2015 2016 2017 2018 2019 passout apply description java fullstack developers fresher exp trained domain good communications skillsexp descriptionø exp 0 7 year ø mvc framework like jsf playframework struts spring frameworkø hibernate jpa databasesø dependency injection resource ø soap based web services jax ws ø build tool ant maven etc ø junit unit testing framework ø version control mostly git get comfortable writing java code using latest api changes ø jstlø application server container configuration management application deploymentø jspø markup languages like html xml json ø servletsø jndiø mvcø frameworks like struts springø servicesø web technologies like css javascript jquery description testingø exp 0 7 year ø trained manual testing automation testingø exp ert creation test scenarios cases meets business requirements mapping documentsø execution test scripts various builds involved fixing test scripts runtime maintenanceø exp creating automation framework enhancing per business needsø good communications skills aws devopsshould trained toolsshould good communication skills logical skills types full time fresher walk insalary 5 000 00 50 000 00 montheducation bachelor preferred,"['aws', 'jsp', 'jsf', 'servlets', 'struts', 'spring', 'soap', 'html', 'css', 'javascript', 'testing', 'devops', 'jquery', 'xml', 'json', 'hibernate', 'maven', 'dependency injection']",aws jsp jsf servlets struts spring soap html css javascript testing devops jquery xml json hibernate maven dependency injection,0.0,7.0
3,"Job Summaryonly freshers and also gap candidates are apply and also other engg. field like E and TC, Mechanical eic branch candidates also apply or eligible.Hands on Industrial Live project work and also including spring,hibernate technology.candidate should have knowledge about core java,Advance java.contact no.-7972949447Job Type: Full-timeSalary: ₹60,000.00 to ₹70,000.00 /yearExperience:total work: 1 year (Preferred)JSP: 1 year (Preferred)Java: 1 year (Preferred)Education:Bachelor's (Preferred)Licence:Java SE 7 Programmer (Preferred)Industry:Software Development",freshers also gap candidates apply also engg field like e tc mechanical eic branch candidates also apply eligible hands industrial live project work also including spring hibernate technology candidate knowledge core java advance java contact 7972949447job type full timesalary 60 000 00 70 000 00 yearexp total work 1 year preferred jsp 1 year preferred java 1 year preferred education bachelor preferred licence java se 7 programmer preferred industry software development,"['jsp', 'spring', 'hibernate']",jsp spring hibernate,1.0,
4,"Job SummaryHow do you shape the future Smart Buildings? We’re looking for the makers of tomorrow, the talented individuals ready to help Siemens transform entire industries, cities and even countries. Get to know us from the inside, develop your skills on the job and work at the cutting edge of Digital Process Industries. In India, we have offices in PuneResponsibilities and DutiesWe make real what matters.We are loking for candidates with Java, J2EE, Spring Framework, MySQL, HTML, CSS, Javascript, Maven, Git, AngularJsOptional Keywords: Jenkins, Linux, Kafka, Consul, Nginx, GroovyYou should have Good Analytics and problem-solving skills.You should have Excellent communication skills, verbally and in writingYou should have to Focus on code quality.Required Experience and QualificationsRequired (Mandatory):1. Overall experience of 0-2 years in Java/J2EE developement2. At least 2 year development experience in Spring Framework/Spring Boot3. Experience in developing REST service4. Experience with JDBC and object-relational mapping (ideally MySQL)5. Experience with frontend technologies viz. HTML5, CSS3, Javascript6. Experience with Maven, GitLab.7. Knowledge of AngularjsBenefitsOptional(Preferred): 1. Basic knowledge of linux commands2. Scripting Knowledge in Groovy2. Knowledge of Jenkins3. Knowledge of Consul, Nginx4. Basic understanding of Microservices5. Knowledge of Queue/Messaging system, preferably Kafka.Job Type: Full-timeSalary: ₹18,000.00 to ₹25,000.00 /yearExperience:.Net: 1 year (Preferred)total work: 1 year (Preferred)Java: 1 year (Preferred)c#: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)",shape future smart buildings looking makers tomorrow talented individuals ready help siemens transform entire industries cities even countries get know us inside develop skills work cutting edge digital process industries india offices puneresponsibilities dutieswe make real matters loking candidates java j2ee spring framework mysql html css javascript maven git angular optional keywords jenkins linux kafka consul nginx groovyyou good analytics problem solving skills excellent communication skills verbally writingyou focus code quality required exp qualificationsrequired mandatory 1 overall exp 0 2 year java j2ee developement2 least 2 year development exp spring framework spring boot3 exp developing rest service4 exp jdbc object relational mapping ideally mysql 5 exp frontend technologies viz html5 css3 javascript6 exp maven gitlab 7 knowledge angular benefitsoptional preferred 1 basic knowledge linux commands2 scripting knowledge groovy2 knowledge jenkins3 knowledge consul nginx4 basic understanding microservices5 knowledge queue messaging system preferably kafka type full timesalary 18 000 00 25 000 00 yearexp net 1 year preferred total work 1 year preferred java 1 year preferred c 1 year preferred education secondary 10th pass preferred,"['j2ee', 'spring', 'rest', 'html', 'css', 'javascript', 'maven', 'angular', 'sql']",j2ee spring rest html css javascript maven angular sql,0.0,2.0
5,"Qualification-B.E/B-Tech, MCA, BCA, Any GraduateJob Profile- Java/ Python/ AWS/ Salesforce/ SAP & MoreSalary: 3.20LPA to-5.60LPAFreshers & Experience Both Can apply 0-2 yearsJob Location & Interview - Pune, BangaloreRequired Technical ExpertiseMust have an understanding of core part language.Should have basic database knowledgeGood knowledge OOPs + database + front end technologiesGood knowledge of Data StructureMust have completed Academic projectsPositive & Learning AttitudeProblem- solving/ troubleshooting skills.Should be Self-starter with excellent interpersonal skillsSalary: INR 3,00,000 - 5,00,000 PA.Industry: IT-Software, Software ServicesFunctional Area: IT Software - Application Programming , MaintenanceRole Category: Programming & DesignRole: Software DeveloperEmployment Type: Full Time, PermanentEducation-UG: B.A - Any Specialization, B.B.A / B.M.S - Management, B.Tech/B.E. - Any Specialization, B.Com - Commerce, B.Sc - Any Specialization, B.Arch - ArchitectureJob Type: Full-time",qualification b e b tech mca bca graduatejob profile java python aws salesforce sap moresalary 3 20lpa 5 60lpafreshers exp apply 0 2 year location interview pune bangalorerequired technical exp ertisemust understanding core part language basic database knowledgegood knowledge oops database front end technologiesgood knowledge data structuremust completed academic projectspositive learning attitudeproblem solving troubleshooting skills self starter excellent interpersonal skillssalary inr 3 00 000 5 00 000 pa industry software software servicesfunctional area software application programming maintenancerole category programming designrole software developeremployment type full time permanenteducation ug b specialization b b b management b tech b e specialization b com commerce b sc specialization b arch architecturejob type full time,"['aws', 'oop']",aws oop,0.0,2.0
6,"Job SummaryCallisto IT Solutions is looking for a JAVA Developer who canm handle whole and sole complete projects start from requirement gathering to deploymentResponsibilities and DutiesDesign the template using bootstrapable to work in advance technology as API ,SWING,HYBERNETdevelop the project using coding techniquesdeploy the project using tomcat serverdeploy the projects on plesk panelhandle the interns with project development train the JAVA trainees for JAVA technologyKey Skills1 yr Experienced/Fresher with Live Project experience with some company present at live url, BE,BCA,MCARequired Experience and QualificationsBE,BCA,MCABenefitsOFFICE TIMING- 10 TO 7 PMSALARY - 1.2 LAKHS PER ANNUMCONTACT : 7057205423Job Type: Full-timeEducation:Diploma (Preferred)Industry:Software Development",callisto solutions looking java developer canm handle whole sole complete projects start requirement gathering deploymentresponsibilities dutiesdesign template using bootstrapable work advance technology api swing hybernetdevelop project using coding techniquesdeploy project using tomcat serverdeploy projects plesk panelhandle interns project development train java trainees java technologykey skills1 year exp fresher live project exp company present live url bca mcarequired exp qualificationsbe bca mcabenefitsoffice timing 10 7 pmsalary 1 2 lakhs per annumcontact 7057205423job type full timeeducation diploma preferred industry software development,"['tomcat', 'swing']",tomcat swing,1.0,
7,"*Strong programming skills Good Logic & Algorithmic skills Knowledge in Core Java / .Net Programming RDBMS Concepts (MySQL / Oracle / SQL Server)*BenefitsHands on experience in Java and related framework like Spring, Groovy / Grails etc Good knowledge of RDBMS and MySQL database Good knowledge in HTML, JavaScript, CSS etc Excellent communication skill (Oral and Written) in English. Self-motivated and ability to work independently. Analytical mindset with problem solving aptitude Willingness to learn new technologies / languages as required.Job Type: Full-timeAgile Experience Needed:NoIndustry:Software Development",strong programming skills good logic algorithmic skills knowledge core java net programming rdbms concepts mysql oracle sql server benefitshands exp java related framework like spring groovy grails etc good knowledge rdbms mysql database good knowledge html javascript css etc excellent communication skill oral written english self motivated ability work independently analytical mindset problem solving aptitude willingness learn new technologies languages required type full timeagile exp needed noindustry software development,"['spring', 'html', 'css', 'javascript', 'grails', 'sql']",spring html css javascript grails sql,0.0,
8,"Frontend Developer - Web/Mobile Applications - Java/JavaScriptJob Responsibilities : - Collaborate with Project Manager or Project Consultant to develop the front end of mobile and web application- Delivering a complete front-end application- Ensuring high performance on mobile and desktop- Migrating to existing Web Applications to new latest technologies to improve performances- Writing tested, idiomatic, and documented JavaScript, HTML and CSS- Coordinating the workflow between the graphic designer, the HTML coder, and yourself- Cooperating with the back-end developer in the process of building the RESTful API- Collaborate with the stakeholders, the users, the build team and other development partners to implement state-of-the-art user experiences.- Collaborate with cross-functional teams to analyze, design, and ship new features- Participate actively in discussions, presentations and decisions about front end development, web application, mobile app, etc.- Implement new technologies to maximize application performance- Work with outside data sources and APIs- Work on bug fixing and improving application performance- Individual ContributorRequired Candidate profile- Strong object-oriented JavaScript- Flat box, material design concepts- AngularJS, MVC frameworks - Angular- CSS precompilers like Sass and LESS- Skills in one or more chosen frameworkslibraries like jQuery or Bootstrap- AJAX (Asynchronous JavaScript and XML)- HTML 5, CSS Modules, Web pack, Babel, npm- jQuery, jQueryUI, RequireJS, doT.js (Templating Engine)- Able to integrate existing API (REST)- Understanding of java web application technology stack (core Java, spring core, Spring MVC, Hibernate, REST)- GitGitHub, Continuous integration using maven & Jenkins- Integrate applications with network systems, servers and databases.- Troubleshoot problems with application development and use- Excellent conceptual, and critical thinking capabilities- Self-directed and self-motivated with the ability to take charge or play a supporting role- Strong understanding of product development.Job Type: Full-timeSalary: ₹5,000.00 to ₹15,000.00 /monthIndustry:Education & Instruction",frontend developer web mobile applications java javascriptjob responsibilities collaborate project manager project consultant develop front end mobile web application delivering complete front end application ensuring high performance mobile desktop migrating existing web applications new latest technologies improve performances writing tested idiomatic documented javascript html css coordinating workflow graphic designer html coder cooperating back end developer process building restful api collaborate stakeholders users build team development partners implement state art user exp collaborate cross functional teams analyze design ship new features participate actively discussions presentations decisions front end development web application mobile app etc implement new technologies maximize application performance work outside data sources apis work bug fixing improving application performance individual contributorrequired candidate profile strong object oriented javascript flat box material design concepts angular mvc frameworks angular css precompilers like sass less skills one chosen frameworkslibraries like jquery bootstrap ajax asynchronous javascript xml html 5 css modules web pack babel npm jquery jqueryui requirejs dot js templating engine able integrate existing api rest understanding java web application technology stack core java spring core spring mvc hibernate rest gitgithub continuous integration using maven jenkins integrate applications network systems servers databases troubleshoot problems application development use excellent conceptual critical thinking capabilities self directed self motivated ability take charge play supporting role strong understanding product development type full timesalary 5 000 00 15 000 00 monthindustry education instruction,"['ajax', 'spring', 'rest', 'html', 'css', 'javascript', 'jquery', 'xml', 'oop', 'hibernate', 'maven', 'angular']",ajax spring rest html css javascript jquery xml oop hibernate maven angular,0.0,
9,"We are looking for a Java Developer with experience in building high-performing, scalable, enterprise-grade applications.You will be part of a talented software team that works on mission-critical applications. Java developer roles and responsibilities include managing Java/Java EE application development while providing expertise in the full software development lifecycle, from concept and design to testing.Java developer responsibilities include designing, developing and delivering high-volume, low-latency applications for mission-critical systems.ResponsibilitiesContribute in all phases of the development lifecycleWrite well designed, testable, efficient codeEnsure designs are in compliance with specificationsPrepare and produce releases of software componentsSupport continuous improvement by investigating alternatives and technologies and presenting these for architectural reviewJob Type: Full-timeSalary: ₹180,000.00 to ₹200,000.00 /yearExperience:java: 1 year (Preferred)Education:Bachelor's (Preferred)Location:Pune, Maharashtra (Preferred)",looking java developer exp building high performing scalable enterprise grade applications part talented software team works mission critical applications java developer roles responsibilities include managing java java ee application development providing exp ertise full software development lifecycle concept design testing java developer responsibilities include designing developing delivering high volume low latency applications mission critical systems responsibilitiescontribute phases development lifecyclewrite well designed testable efficient codeensure designs compliance specificationsprepare produce releases software componentssupport continuous improvement investigating alternatives technologies presenting architectural reviewjob type full timesalary 180 000 00 200 000 00 yearexp java 1 year preferred education bachelor preferred location pune maharashtra preferred,['testing'],testing,1.0,
